Ligand_1,Ligand_2,Exp. ddG,Pred. ddG,SEM,STD,crashes,target,ForceField
CAT-4n,CAT-4m,-0.06,0.67,0.306,1.1927,4,bace,OpenFF 2.0
CAT-4n,CAT-4j,0.07,3.494,0.523,0.9604,2,bace,OpenFF 2.0
CAT-4m,CAT-4p,-0.93,-0.479,0.143,0.8711,0,bace,OpenFF 2.0
CAT-4m,CAT-4o,-0.23,1.526,0.052,0.857,0,bace,OpenFF 2.0
CAT-4m,CAT-4j,0.13,2.823,0.306,1.0429,0,bace,OpenFF 2.0
CAT-4p,CAT-4o,0.7,2.004,0.052,1.1364,4,bace,OpenFF 2.0
CAT-4p,CAT-13m,1.32,1.167,0.143,1.4591,0,bace,OpenFF 2.0
CAT-4j,CAT-4k,1.17,0.822,0.139,0.9228,0,bace,OpenFF 2.0
CAT-4j,CAT-4l,-0.32,1.245,0.3,1.3961,0,bace,OpenFF 2.0
CAT-13k,CAT-4j,0.68,0.987,0.143,1.5182,0,bace,OpenFF 2.0
CAT-4j,CAT-4a,1.09,0.074,0.3,0.9661,0,bace,OpenFF 2.0
CAT-4k,CAT-4a,-0.08,-0.748,0.139,1.0218,0,bace,OpenFF 2.0
CAT-4c,CAT-4a,-0.08,0.878,0.185,1.419,0,bace,OpenFF 2.0
CAT-4a,CAT-4i,-0.33,-0.025,0.3,0.8301,0,bace,OpenFF 2.0
CAT-4d,CAT-4a,1.18,3.888,0.358,1.3454,0,bace,OpenFF 2.0
CAT-4b,CAT-4a,1.7,3.975,0.358,1.0386,0,bace,OpenFF 2.0
CAT-4c,CAT-4b,-1.78,-3.097,0.185,1.9014,0,bace,OpenFF 2.0
CAT-4d,CAT-4b,-0.52,-0.087,0.358,1.1543,0,bace,OpenFF 2.0
CAT-4l,CAT-4i,1.08,-1.195,0.3,1.094,0,bace,OpenFF 2.0
CAT-13k,CAT-13m,0.94,-1.147,0.143,1.3724,0,bace,OpenFF 2.0
CAT-13k,CAT-13n,1.16,1.208,1.247,1.253,0,bace,OpenFF 2.0
CAT-13k,CAT-13j,0.97,-0.216,0.872,1.0841,0,bace,OpenFF 2.0
CAT-13k,CAT-13o,1.16,0.469,1.247,1.5903,0,bace,OpenFF 2.0
CAT-13n,CAT-13j,-0.19,-1.424,0.872,1.2484,0,bace,OpenFF 2.0
CAT-13n,CAT-13o,0.0,-0.739,1.247,1.3515,0,bace,OpenFF 2.0
CAT-13i,CAT-13b,0.15,-0.474,1.261,1.2097,0,bace,OpenFF 2.0
CAT-13b,CAT-13a,0.28,-0.583,1.261,1.3744,0,bace,OpenFF 2.0
CAT-13c,CAT-13b,0.2,-0.839,0.0,0.8881,0,bace,OpenFF 2.0
CAT-13c,CAT-13a,0.48,-1.421,0.0,1.1821,0,bace,OpenFF 2.0
CAT-13h,CAT-13a,0.79,-2.586,1.261,3.262,0,bace,OpenFF 2.0
30,1h1s,-1.44,-0.562,1.322,1.1764,8,cdk2,OpenFF 2.0
1h1s,1oiy,1.46,0.722,1.478,0.9578,7,cdk2,OpenFF 2.0
1h1s,1oiu,2.17,-0.604,1.478,1.6447,5,cdk2,OpenFF 2.0
32,1h1s,-1.5,-1.711,1.322,1.4264,10,cdk2,OpenFF 2.0
28,1h1s,-0.14,0.111,0.941,0.9381,7,cdk2,OpenFF 2.0
28,30,1.3,0.673,1.051,0.9405,5,cdk2,OpenFF 2.0
29,30,0.07,0.656,1.051,0.7951,5,cdk2,OpenFF 2.0
30,31,0.27,-1.019,0.635,0.891,7,cdk2,OpenFF 2.0
32,30,-0.06,-1.149,1.322,1.7413,1,cdk2,OpenFF 2.0
30,26,1.38,1.321,0.809,1.3333,0,cdk2,OpenFF 2.0
29,28,-1.23,-0.016,1.051,0.8812,4,cdk2,OpenFF 2.0
31,26,1.11,2.341,0.635,0.6129,6,cdk2,OpenFF 2.0
26,1oi9,-1.31,-1.41,0.809,1.5005,6,cdk2,OpenFF 2.0
26,1h1q,0.25,1.342,0.11,0.9986,0,cdk2,OpenFF 2.0
1oi9,1h1q,1.56,2.752,1.478,1.1162,7,cdk2,OpenFF 2.0
1oiy,1oi9,0.05,-0.248,1.478,0.8286,10,cdk2,OpenFF 2.0
1h1r,1h1q,-0.51,-1.416,1.478,1.007,9,cdk2,OpenFF 2.0
17,1h1q,-1.14,-1.788,0.82,1.1328,6,cdk2,OpenFF 2.0
1h1r,17,0.63,0.371,0.82,0.3483,9,cdk2,OpenFF 2.0
21,1h1r,0.16,-0.68,0.675,1.0912,0,cdk2,OpenFF 2.0
20,1h1r,1.05,2.689,0.358,0.8832,3,cdk2,OpenFF 2.0
22,1h1r,0.19,-1.83,0.675,1.4507,9,cdk2,OpenFF 2.0
1oiu,1h1r,1.41,5.246,1.478,0.828,9,cdk2,OpenFF 2.0
20,17,1.68,3.061,0.358,1.2253,7,cdk2,OpenFF 2.0
21,22,-0.03,1.15,0.675,1.1098,7,cdk2,OpenFF 2.0
18659-1,18658-1,-0.23,0.167,1.374,0.993,8,jnk1,OpenFF 2.0
18658-1,18634-1,-0.29,-0.894,0.583,1.9092,10,jnk1,OpenFF 2.0
18660-1,18658-1,-1.0,-0.561,1.374,5.0821,12,jnk1,OpenFF 2.0
18659-1,18634-1,-0.52,-0.726,0.583,1.2897,0,jnk1,OpenFF 2.0
18660-1,18659-1,-0.77,-0.729,1.374,2.6566,8,jnk1,OpenFF 2.0
18634-1,18631-1,0.58,0.943,0.462,0.6237,8,jnk1,OpenFF 2.0
17124-1,18634-1,-0.31,0.373,0.462,0.724,5,jnk1,OpenFF 2.0
18631-1,18628-1,0.71,3.477,0.543,1.1741,10,jnk1,OpenFF 2.0
18631-1,18625-1,1.3,3.783,0.543,1.4705,4,jnk1,OpenFF 2.0
17124-1,18631-1,0.27,1.317,0.462,0.6841,0,jnk1,OpenFF 2.0
18628-1,18625-1,0.59,0.307,0.543,0.6248,6,jnk1,OpenFF 2.0
18635-1,18628-1,-1.41,-0.285,0.38,0.9513,8,jnk1,OpenFF 2.0
18628-1,18624-1,0.21,-0.102,0.38,0.8786,0,jnk1,OpenFF 2.0
18636-1,18628-1,-1.19,-0.097,0.37,0.7305,9,jnk1,OpenFF 2.0
18635-1,18630-1,-1.85,0.332,0.38,1.05,10,jnk1,OpenFF 2.0
18635-1,18636-1,-0.22,-0.187,0.37,1.1851,0,jnk1,OpenFF 2.0
18630-1,18624-1,0.65,-0.72,0.629,0.5148,8,jnk1,OpenFF 2.0
18629-1,18624-1,0.18,0.724,0.092,0.5323,9,jnk1,OpenFF 2.0
18627-1,18624-1,-0.01,0.592,0.629,0.528,7,jnk1,OpenFF 2.0
18626-1,18624-1,0.38,1.096,0.092,0.8721,0,jnk1,OpenFF 2.0
18630-1,18627-1,0.66,-1.312,0.629,0.5771,7,jnk1,OpenFF 2.0
18633-1,18630-1,0.03,1.656,0.364,0.7376,7,jnk1,OpenFF 2.0
18633-1,18627-1,0.69,0.344,0.364,0.9202,0,jnk1,OpenFF 2.0
18629-1,18626-1,-0.2,-0.372,0.341,1.1459,9,jnk1,OpenFF 2.0
18632-1,18629-1,0.41,-0.169,0.341,1.4234,9,jnk1,OpenFF 2.0
18632-1,18626-1,0.21,-0.541,0.341,0.8062,0,jnk1,OpenFF 2.0
18637-1,17124-1,0.46,0.045,0.191,0.9343,10,jnk1,OpenFF 2.0
18638-1,17124-1,0.41,-0.71,0.37,1.1281,8,jnk1,OpenFF 2.0
18639-1,17124-1,0.06,-0.375,0.352,0.7118,6,jnk1,OpenFF 2.0
18652-1,17124-1,1.0,-1.49,0.37,2.1182,7,jnk1,OpenFF 2.0
18637-1,18638-1,0.05,0.755,0.191,1.4393,6,jnk1,OpenFF 2.0
18652-1,18638-1,0.59,-0.78,0.37,2.0032,10,jnk1,OpenFF 2.0
18638-1,18639-1,0.35,-0.335,0.352,0.7882,0,jnk1,OpenFF 2.0
27,41,-1.01,-1.683,1.028,5.6054,8,mcl1,OpenFF 2.0
27,32,-0.46,-1.171,0.941,0.9708,0,mcl1,OpenFF 2.0
27,33,-0.76,-1.876,0.229,0.7018,0,mcl1,OpenFF 2.0
27,30,-1.73,-0.302,0.941,1.04,0,mcl1,OpenFF 2.0
27,38,-0.9,-5.543,1.951,2.8081,0,mcl1,OpenFF 2.0
27,34,-0.75,-2.347,0.515,1.6792,0,mcl1,OpenFF 2.0
27,28,-0.5,3.866,0.229,1.4174,0,mcl1,OpenFF 2.0
27,39,-0.91,-3.027,1.028,3.5735,0,mcl1,OpenFF 2.0
27,40,-1.13,-4.547,1.951,7.0254,11,mcl1,OpenFF 2.0
39,41,-0.1,1.343,1.028,2.5039,1,mcl1,OpenFF 2.0
32,43,-0.45,-1.412,0.947,0.9765,0,mcl1,OpenFF 2.0
30,32,1.27,-0.869,0.941,1.6975,0,mcl1,OpenFF 2.0
32,46,-1.02,-1.871,0.947,0.8621,0,mcl1,OpenFF 2.0
32,47,0.8,1.814,0.121,1.7067,0,mcl1,OpenFF 2.0
33,35,-1.93,-0.277,0.56,1.4123,0,mcl1,OpenFF 2.0
33,36,-1.3,-1.283,0.56,1.1904,0,mcl1,OpenFF 2.0
33,37,-2.07,-0.426,0.907,2.08,0,mcl1,OpenFF 2.0
33,64,-2.62,-0.539,0.907,1.5477,1,mcl1,OpenFF 2.0
30,31,-0.07,-1.893,0.515,0.9027,0,mcl1,OpenFF 2.0
38,40,-0.23,0.997,1.951,2.1262,0,mcl1,OpenFF 2.0
35,36,0.63,-1.007,0.56,0.7849,0,mcl1,OpenFF 2.0
35,37,-0.14,-0.004,0.935,1.083,0,mcl1,OpenFF 2.0
35,52,-0.42,-0.941,0.935,1.835,0,mcl1,OpenFF 2.0
35,49,0.45,1.735,0.475,1.1843,0,mcl1,OpenFF 2.0
67,37,-1.37,2.411,0.148,1.1628,0,mcl1,OpenFF 2.0
37,53,-1.01,-4.639,0.935,1.6717,0,mcl1,OpenFF 2.0
37,56,-0.31,-1.206,1.818,1.6697,0,mcl1,OpenFF 2.0
37,50,-0.38,-0.915,0.475,0.4252,0,mcl1,OpenFF 2.0
54,37,0.83,-0.491,1.818,1.0762,0,mcl1,OpenFF 2.0
52,53,-0.73,-3.701,0.935,1.196,0,mcl1,OpenFF 2.0
49,50,-0.97,-2.655,0.475,1.0847,0,mcl1,OpenFF 2.0
61,50,-1.25,1.69,0.212,0.6788,0,mcl1,OpenFF 2.0
31,34,1.05,-0.153,0.515,1.9068,0,mcl1,OpenFF 2.0
28,42,-2.28,-4.861,2.026,1.1792,0,mcl1,OpenFF 2.0
28,29,-0.32,-3.096,2.026,3.1254,0,mcl1,OpenFF 2.0
28,48,-0.04,0.504,0.837,1.6125,0,mcl1,OpenFF 2.0
28,45,-2.33,-5.751,0.381,1.3454,0,mcl1,OpenFF 2.0
28,44,-2.05,-5.331,0.439,1.6421,1,mcl1,OpenFF 2.0
42,54,-0.88,-0.816,0.612,0.7286,0,mcl1,OpenFF 2.0
48,42,-2.24,-5.366,0.837,1.0121,0,mcl1,OpenFF 2.0
42,51,0.45,-0.918,0.612,1.4405,0,mcl1,OpenFF 2.0
42,44,0.23,-0.469,0.439,1.0104,0,mcl1,OpenFF 2.0
45,42,0.05,0.889,0.381,1.0794,0,mcl1,OpenFF 2.0
29,42,-1.96,-1.766,2.026,1.8363,0,mcl1,OpenFF 2.0
64,54,-0.28,0.604,1.818,1.2104,0,mcl1,OpenFF 2.0
68,54,-2.09,-2.82,0.036,1.0345,0,mcl1,OpenFF 2.0
51,54,-1.33,0.102,0.612,1.814,1,mcl1,OpenFF 2.0
47,43,-1.25,-3.226,0.121,1.1434,0,mcl1,OpenFF 2.0
46,43,0.57,0.459,0.947,0.9276,0,mcl1,OpenFF 2.0
23,64,-0.67,-0.537,1.818,1.0348,0,mcl1,OpenFF 2.0
23,62,0.87,-1.09,0.087,1.2729,0,mcl1,OpenFF 2.0
23,66,0.4,-1.26,0.087,0.9976,0,mcl1,OpenFF 2.0
26,23,-0.59,-1.637,1.818,1.2649,0,mcl1,OpenFF 2.0
66,62,0.47,0.17,0.087,1.8764,0,mcl1,OpenFF 2.0
60,61,0.84,-0.603,3.666,1.793,0,mcl1,OpenFF 2.0
61,65,-0.33,1.577,3.666,3.9892,0,mcl1,OpenFF 2.0
60,63,-0.14,-1.401,0.212,0.6701,0,mcl1,OpenFF 2.0
60,65,0.51,0.973,3.666,0.8841,0,mcl1,OpenFF 2.0
67,60,-1.34,0.409,0.148,1.0119,0,mcl1,OpenFF 2.0
63,58,-0.35,0.059,0.212,0.8006,0,mcl1,OpenFF 2.0
56,58,-0.15,-2.139,0.212,1.6999,0,mcl1,OpenFF 2.0
56,57,0.22,1.533,1.818,1.5255,0,mcl1,OpenFF 2.0
26,68,0.55,1.25,0.036,1.7007,0,mcl1,OpenFF 2.0
26,57,-0.8,-1.733,1.818,1.9962,0,mcl1,OpenFF 2.0
p38a-3fln,p38a-2x,0.65,1.165,0.3,1.0481,0,p38,OpenFF 2.0
p38a-2x,p38a-2g,-0.43,-1.705,0.3,1.4396,0,p38,OpenFF 2.0
p38a-3fln,p38a-2g,0.22,-0.539,1.087,0.5174,2,p38,OpenFF 2.0
p38a-2ff,p38a-3fln,0.56,1.262,0.791,1.1015,0,p38,OpenFF 2.0
p38a-3fln,p38a-2e,0.18,0.968,0.075,1.3119,0,p38,OpenFF 2.0
p38a-2l,p38a-3fln,1.38,2.379,0.115,1.222,1,p38,OpenFF 2.0
p38a-2m,p38a-3fln,0.08,2.677,0.583,0.7961,0,p38,OpenFF 2.0
p38a-3fln,p38a-2j,0.8,-0.301,1.519,0.9745,0,p38,OpenFF 2.0
p38a-3fln,p38a-2k,0.33,1.186,0.583,0.9381,0,p38,OpenFF 2.0
p38a-3fln,p38a-2v,1.91,2.294,0.791,1.3074,0,p38,OpenFF 2.0
p38a-2gg,p38a-3fln,-0.22,-0.009,0.162,0.993,0,p38,OpenFF 2.0
p38a-2ee,p38a-3fln,1.38,0.351,0.427,1.9986,0,p38,OpenFF 2.0
p38a-3fln,p38a-3flz,1.39,-0.573,1.519,1.0034,1,p38,OpenFF 2.0
p38a-2g,p38a-2h,1.18,0.376,1.087,0.8839,0,p38,OpenFF 2.0
p38a-2gg,p38a-2ff,-0.78,-1.271,0.162,0.9341,1,p38,OpenFF 2.0
p38a-2ee,p38a-2ff,0.82,-0.911,0.427,1.0689,0,p38,OpenFF 2.0
p38a-2ff,p38a-2v,2.47,3.556,0.791,2.4425,1,p38,OpenFF 2.0
p38a-2e,p38a-3flz,1.21,-1.541,0.404,0.8544,0,p38,OpenFF 2.0
p38a-2e,p38a-2f,2.22,0.469,0.404,0.9236,0,p38,OpenFF 2.0
p38a-2f,p38a-3flz,-1.01,-2.011,0.404,0.8742,0,p38,OpenFF 2.0
p38a-3flz,p38a-2c,-0.97,1.005,1.519,4.7393,3,p38,OpenFF 2.0
p38a-2t,p38a-2l,-0.41,1.573,0.508,0.6774,1,p38,OpenFF 2.0
p38a-2r,p38a-2l,-1.47,1.098,0.687,0.9171,0,p38,OpenFF 2.0
p38a-2n,p38a-2l,-0.41,1.876,0.687,1.1729,1,p38,OpenFF 2.0
p38a-2s,p38a-2l,-1.15,0.283,0.3,1.1881,0,p38,OpenFF 2.0
p38a-2m,p38a-2l,-1.3,0.299,0.115,0.8853,0,p38,OpenFF 2.0
p38a-2n,p38a-2t,0.0,0.303,0.508,0.8422,0,p38,OpenFF 2.0
p38a-2r,p38a-2n,-1.06,-0.778,0.687,1.3453,1,p38,OpenFF 2.0
p38a-2p,p38a-2n,-0.65,-0.367,0.219,1.5021,1,p38,OpenFF 2.0
p38a-2s,p38a-2n,-0.74,-1.593,0.3,0.9139,1,p38,OpenFF 2.0
p38a-2o,p38a-2n,-1.36,-1.813,0.219,1.4148,0,p38,OpenFF 2.0
p38a-2p,p38a-2o,0.71,1.447,0.219,3.0364,0,p38,OpenFF 2.0
p38a-2q,p38a-2m,1.3,1.577,0.404,1.8795,0,p38,OpenFF 2.0
p38a-2u,p38a-2m,1.3,4.113,0.404,4.934,7,p38,OpenFF 2.0
p38a-2m,p38a-2k,0.41,3.864,0.583,2.0787,1,p38,OpenFF 2.0
p38a-2u,p38a-2q,0.0,2.537,0.404,2.1576,0,p38,OpenFF 2.0
p38a-2j,p38a-2i,0.03,-0.621,1.519,1.0544,1,p38,OpenFF 2.0
p38a-2i,p38a-2h,0.57,0.759,1.519,0.7185,0,p38,OpenFF 2.0
p38a-2h,p38a-2c,-0.98,0.595,1.519,5.2683,0,p38,OpenFF 2.0
p38a-3fly,p38a-2v,2.45,1.115,1.713,0.8737,1,p38,OpenFF 2.0
p38a-2y,p38a-2v,0.81,0.425,1.713,0.9107,0,p38,OpenFF 2.0
p38a-2aa,p38a-3fly,-2.15,-0.09,0.894,1.494,1,p38,OpenFF 2.0
p38a-3flq,p38a-3fly,-1.49,0.178,1.713,2.0479,0,p38,OpenFF 2.0
p38a-3flw,p38a-3fly,-0.74,2.74,0.583,1.8423,0,p38,OpenFF 2.0
p38a-3fmh,p38a-3fly,-0.59,0.184,0.012,2.4045,0,p38,OpenFF 2.0
p38a-3fmk,p38a-3fly,0.41,3.394,0.589,2.0857,0,p38,OpenFF 2.0
p38a-3flw,p38a-2aa,1.41,2.83,0.583,1.9804,0,p38,OpenFF 2.0
p38a-2aa,p38a-2z,-1.09,0.74,0.894,1.3822,0,p38,OpenFF 2.0
p38a-3flq,p38a-2bb,0.87,0.634,1.713,4.6005,2,p38,OpenFF 2.0
p38a-3fmh,p38a-3flq,0.9,0.006,0.012,2.4404,2,p38,OpenFF 2.0
p38a-3fmk,p38a-3flq,1.9,3.216,0.589,2.1298,0,p38,OpenFF 2.0
p38a-2bb,p38a-2y,-0.72,0.234,1.713,2.2168,7,p38,OpenFF 2.0
p38a-2y,p38a-2z,-0.58,0.14,0.894,0.6595,8,p38,OpenFF 2.0
23476,20670-2qbs-,0.33,0.664,0.618,1.9799,0,ptp1b,OpenFF 2.0
23476,23474,0.3,0.712,0.456,2.2371,0,ptp1b,OpenFF 2.0
23479,23476,-0.27,-2.954,1.617,1.7532,0,ptp1b,OpenFF 2.0
23330-2qbq-,23476,0.72,0.329,0.289,1.7366,0,ptp1b,OpenFF 2.0
23482,23476,0.6,-0.866,1.617,3.7748,1,ptp1b,OpenFF 2.0
23476,23475,0.69,1.301,0.618,1.5654,0,ptp1b,OpenFF 2.0
23476,23477,0.56,3.042,0.439,2.9204,0,ptp1b,OpenFF 2.0
20670-2qbs-,23475,0.36,0.637,0.618,0.5109,0,ptp1b,OpenFF 2.0
20670-2qbs-,23477,0.23,2.378,0.329,2.8903,0,ptp1b,OpenFF 2.0
23477,23475,0.13,-1.741,0.439,1.6231,0,ptp1b,OpenFF 2.0
23330-2qbq-,23475,1.41,1.631,0.289,2.4629,0,ptp1b,OpenFF 2.0
23475,23468,0.97,2.746,0.323,0.9762,0,ptp1b,OpenFF 2.0
23474,23475,0.39,0.589,0.456,1.7457,0,ptp1b,OpenFF 2.0
23474,20669-2qbr-,0.5,2.624,0.323,1.6861,0,ptp1b,OpenFF 2.0
23480,23479,-0.42,-0.081,0.214,1.2659,0,ptp1b,OpenFF 2.0
23482,23479,0.87,2.088,1.617,2.8987,0,ptp1b,OpenFF 2.0
23480,23482,-1.29,-2.169,0.214,2.1627,0,ptp1b,OpenFF 2.0
23483,23482,-0.14,3.693,1.016,4.7725,0,ptp1b,OpenFF 2.0
20667-2qbp-,23482,1.41,4.267,1.016,5.3362,1,ptp1b,OpenFF 2.0
20667-2qbp-,23483,1.55,0.573,1.016,1.7447,0,ptp1b,OpenFF 2.0
20667-2qbp-,23486,-1.05,0.063,0.104,1.0993,0,ptp1b,OpenFF 2.0
20667-2qbp-,23485,0.41,3.856,0.017,0.7849,0,ptp1b,OpenFF 2.0
20667-2qbp-,23484,3.67,2.301,0.104,1.7007,0,ptp1b,OpenFF 2.0
23486,23485,1.46,3.794,0.017,0.9441,0,ptp1b,OpenFF 2.0
23486,23484,4.72,2.239,0.104,1.5591,0,ptp1b,OpenFF 2.0
23469,20669-2qbr-,-0.89,-1.569,1.057,2.4714,0,ptp1b,OpenFF 2.0
20669-2qbr-,23473,0.22,-1.719,0.385,0.9546,0,ptp1b,OpenFF 2.0
23472,20669-2qbr-,0.04,0.566,1.057,1.7662,0,ptp1b,OpenFF 2.0
23469,23468,-0.03,-0.857,0.385,2.1349,0,ptp1b,OpenFF 2.0
23472,23469,0.93,2.134,1.057,2.1731,0,ptp1b,OpenFF 2.0
23471,23468,0.0,-0.163,0.826,2.2771,0,ptp1b,OpenFF 2.0
23470,23468,-0.03,-0.557,0.826,1.6308,0,ptp1b,OpenFF 2.0
23468,23466,-0.1,-0.69,0.323,1.5008,1,ptp1b,OpenFF 2.0
23468,23467,0.41,-1.33,0.385,1.8663,1,ptp1b,OpenFF 2.0
23470,23471,-0.03,-0.393,0.826,1.7031,0,ptp1b,OpenFF 2.0
23473,23467,1.05,1.101,0.385,1.7507,3,ptp1b,OpenFF 2.0
23467,23466,-0.51,0.64,0.323,1.7584,1,ptp1b,OpenFF 2.0
6a,6b,0.29,-0.216,1.674,0.9246,0,thrombin,OpenFF 2.0
6b,7a,0.67,3.586,1.674,1.1738,0,thrombin,OpenFF 2.0
6e,6b,0.02,-0.078,0.058,1.0979,0,thrombin,OpenFF 2.0
6e,6a,-0.27,0.138,0.058,0.7301,0,thrombin,OpenFF 2.0
6a,1b,0.72,1.124,1.674,1.1042,0,thrombin,OpenFF 2.0
7a,3a,-0.1,-1.424,1.674,1.3023,0,thrombin,OpenFF 2.0
1b,5,0.88,1.85,1.674,0.8439,0,thrombin,OpenFF 2.0
1b,1d,0.21,-0.955,0.462,0.9242,0,thrombin,OpenFF 2.0
1b,1a,0.98,0.61,0.006,0.8588,0,thrombin,OpenFF 2.0
1b,1c,-0.1,-1.07,0.283,1.004,0,thrombin,OpenFF 2.0
1d,5,0.67,2.805,0.462,1.4728,0,thrombin,OpenFF 2.0
1a,5,-0.1,1.24,0.006,0.722,0,thrombin,OpenFF 2.0
3a,5,0.74,1.027,1.674,1.2748,0,thrombin,OpenFF 2.0
1c,5,0.98,2.92,0.283,1.2683,0,thrombin,OpenFF 2.0
3b,5,0.28,2.589,0.179,1.1904,0,thrombin,OpenFF 2.0
3b,3a,-0.46,1.561,0.179,0.9962,0,thrombin,OpenFF 2.0
ejm-48,ejm-47,-0.7,-0.703,0.179,0.5186,0,tyk2,OpenFF 2.0
ejm-47,ejm-46,-1.61,-1.373,0.179,0.8859,1,tyk2,OpenFF 2.0
ejm-48,ejm-46,-2.31,-2.077,0.179,1.1209,1,tyk2,OpenFF 2.0
jmc-27,ejm-46,-0.03,0.67,0.0,0.6727,0,tyk2,OpenFF 2.0
ejm-45,ejm-46,-1.75,-1.07,0.0,0.8855,0,tyk2,OpenFF 2.0
jmc-27,jmc-28,0.3,1.958,0.081,0.8349,0,tyk2,OpenFF 2.0
jmc-27,jmc-23,-0.42,0.069,0.052,0.8071,0,tyk2,OpenFF 2.0
jmc-30,jmc-27,-0.34,-0.364,0.081,0.5301,0,tyk2,OpenFF 2.0
jmc-28,jmc-23,-0.72,-1.889,0.052,0.7655,0,tyk2,OpenFF 2.0
jmc-30,jmc-28,-0.04,1.594,0.081,0.5308,1,tyk2,OpenFF 2.0
ejm-45,ejm-50,0.58,0.71,0.0,1.9166,0,tyk2,OpenFF 2.0
ejm-50,ejm-42,-0.8,0.04,0.0,0.694,0,tyk2,OpenFF 2.0
ejm-42,ejm-31,0.24,1.347,0.445,0.5964,0,tyk2,OpenFF 2.0
ejm-54,ejm-42,0.75,0.171,0.266,0.528,0,tyk2,OpenFF 2.0
ejm-42,ejm-55,0.57,-0.746,0.445,0.7406,0,tyk2,OpenFF 2.0
ejm-55,ejm-31,-0.33,2.093,0.525,0.8904,0,tyk2,OpenFF 2.0
ejm-43,ejm-31,-1.28,1.351,0.525,1.0735,0,tyk2,OpenFF 2.0
ejm-44,ejm-31,-2.12,-1.76,0.0,1.1424,0,tyk2,OpenFF 2.0
ejm-49,ejm-31,-1.79,0.46,0.0,1.163,0,tyk2,OpenFF 2.0
ejm-54,ejm-31,0.99,1.519,0.266,0.7694,0,tyk2,OpenFF 2.0
ejm-43,ejm-55,-0.95,-0.741,0.525,0.9841,0,tyk2,OpenFF 2.0
41,37,-0.24,-0.49,0.398,1.1104,0,cdk8,OpenFF 2.0
40,37,-0.33,0.11,0.398,1.7055,0,cdk8,OpenFF 2.0
39,37,0.0,-0.041,0.121,0.7545,0,cdk8,OpenFF 2.0
37,35,0.0,0.732,1.149,1.0383,0,cdk8,OpenFF 2.0
34,37,-0.33,-1.819,0.421,1.0749,0,cdk8,OpenFF 2.0
37,32,1.97,5.279,1.006,1.5521,0,cdk8,OpenFF 2.0
36,37,-0.24,-0.696,0.681,1.2371,0,cdk8,OpenFF 2.0
31,37,0.41,0.459,1.149,1.2947,0,cdk8,OpenFF 2.0
37,26,1.3,4.929,1.006,0.814,0,cdk8,OpenFF 2.0
30,37,0.17,-0.122,0.378,1.2102,0,cdk8,OpenFF 2.0
37,19,0.79,4.014,0.958,1.4761,0,cdk8,OpenFF 2.0
38,37,-0.14,-1.387,0.427,0.8415,0,cdk8,OpenFF 2.0
41,40,0.09,-0.6,0.398,0.8422,0,cdk8,OpenFF 2.0
39,28,5.29,5.727,1.342,2.0447,0,cdk8,OpenFF 2.0
39,19,0.79,3.974,1.342,1.4103,0,cdk8,OpenFF 2.0
